Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2019-12-06,"7,588.3","7,439.9","7,648.6","7,350.1",5.71K,1.99%,"28,015.06","8,656.53","3,145.90",1475.8,66.5,-0.07896050810813904,Negative,Negative
2019-12-07,"7,543.2","7,584.7","7,665.1","7,520.1",1.72K,-0.59%,,,,,,0.121005654335022,Positive,Positive
2019-12-08,"7,564.6","7,543.2","7,620.0","7,433.6",4.30K,0.28%,,,,,,0.02640278140703837,Positive,Negative
2019-12-09,"7,379.5","7,563.8","7,701.1","7,309.1",6.56K,-2.45%,"27,909.60","8,621.83","3,136.00",1464.9,66.44,0.1672206650609555,Positive,Positive
2019-12-10,"7,254.6","7,373.8","7,433.0","7,207.5",3.64K,-1.69%,"27,881.72","8,616.18","3,132.50",1468.1,66.57,-0.0869812357884187,Negative,Negative
2019-12-11,"7,230.7","7,254.7","7,296.2","7,170.1",3.12K,-0.33%,"27,911.30","8,654.05","3,141.60",1475.0,65.37,-0.01533482145321997,Positive,Positive
2019-12-12,"7,224.0","7,231.2","7,325.6","7,133.8",5.64K,-0.09%,"28,132.05","8,717.32","3,168.60",1472.3,66.67,0.01632005434769851,Negative,Positive
2019-12-13,"7,283.2","7,224.1","7,331.9","7,218.7",2.90K,0.82%,"28,135.38","8,734.88","3,168.80",1497.7,67.44,-0.08100129277617843,Positive,Negative
2019-12-14,"7,100.8","7,283.1","7,290.5","7,038.5",3.41K,-2.50%,,,,,,-0.2013021185994148,Positive,Negative
2019-12-15,"7,152.7","7,100.8","7,218.6","7,046.6",3.53K,0.73%,,,,,,0.1461954496123574,Positive,Positive
2019-12-16,"6,926.8","7,152.7","7,189.9","6,900.0",13.42K,-3.16%,"28,235.89","8,814.23","3,191.40",1480.5,68.04,-0.04243872407823801,Negative,Negative
2019-12-17,"6,667.1","6,926.6","6,972.0","6,624.3",12.66K,-3.75%,"28,267.16","8,823.36","3,192.50",1480.6,68.99,-0.2037242017686367,Negative,Negative
2019-12-18,"7,323.4","6,667.1","7,480.2","6,479.4",13.75K,9.84%,"28,239.28","8,827.74","3,191.10",1478.7,69.12,-0.1714022047817707,Negative,Negative
